avg_vol_3month,c_level,company_name,e_score,ebitda,employees,enterprise_value,fifty_day_moving_avg,forward_pe,g_score,held_by_insiders,held_by_institutions,hq,industry,market_cap,peg_ratio,profit_margin,return_on_assets,return_on_equity,revenue,s_score,sector,ticker_name,tot_cash,tot_debt,tot_esg_score,trailing_pe,twohundred_day_moving_avg
2.09M,1,"Akamai Technologies, Inc.",2.0,871.52M,"7,742",19.89B,107.30,22.88,7.3,2.47%,92.94%,"145 Broadway Cambridge, MA 02142",Software—Infrastructure,18.47B,1.94,16.74%,6.09%,14.21%,2.95B,11.8,Technology,AKAM,1.25B,2.67B,21,37.94,98.84
392.79k,,"Akari Therapeutics, Plc",,-21.88M,10,61.18M,2.1419, ,,41.85%,3.23%,75/76 Wimpole Street London W1G 9RT,Biotechnology,66.92M, ,0.00%,-145.79%,"-1,182.27%",N/A,,Healthcare,AKTX,7.82M,N/A,, ,1.8553
286.9k,,"Akcea Therapeutics, Inc.",,-26.72M,294,833.04M,13.85, ,,82.88%,20.84%,22 Boston Wharf Road 9th Floor,Biotechnology,1.24B, ,-8.59%,-4.10%,-6.51%,340.8M,,Healthcare,AKCA,421.3M,15.78M,,40.59,15.54
1.78M,,"Akebia Therapeutics, Inc.",,-156.56M,358,1.76B,12.28, ,,3.66%,63.96%,245 First Street Suite 1400,Biotechnology,1.77B, ,-76.39%,-14.54%,-55.67%,350.81M,,Healthcare,AKBA,115.37M,107.38M,, ,9.56
143.51k,,Akerna Corp.,,N/A,93,73.06M,8.41, ,,43.31%,2.52%,"1630 Welton Street Denver, CO 80202",Health Information Services,87.37M, ,-137.41%,-40.09%,-88.02%,13.29M,,Healthcare,KERN,14.31M,N/A,, ,7.62
353.09k,,"Akero Therapeutics, Inc.",,N/A,13,1.14B,30.82, ,,9.51%,84.23%,170 Harbor Way 3rd Floor,Biotechnology,1.26B, ,0.00%,-33.04%,-53.49%,N/A,,Healthcare,AKRO,125.28M,230k,, ,24.00
1.17M,,"Akers Biosciences, Inc.",,-6.15M,12,25.88M,3.8344, ,,0.83%,9.30%,"201 Grove Road Thorofare, NJ 08086",Medical Instruments & Supplies,32.63M, ,0.00%,-48.14%,-110.49%,1.33M,,Healthcare,AKER,7.44M,270.46k,, ,3.3704
387.82k,,"Akouos, Inc.",,-29.89M,54,544.63M,21.44, ,,N/A,N/A,645 Summer Street Suite 200,Biotechnology,650.93M, ,0.00%,N/A,N/A,N/A,,Healthcare,AKUS,120.17M,14.24M,, ,21.44
635.1k,,"Akoustis Technologies, Inc.",,-27.33M,82,275.27M,8.14, ,,14.68%,44.84%,9805 Northcross Center Court Suite A,Communication Equipment,293.94M, ,0.00%,-32.81%,-93.33%,2.1M,,Technology,AKTS,39.58M,20.91M,, ,7.44
650.26k,,"Alarm.com Holdings, Inc.",,86.72M,"1,227",3.48B,65.77,51.02,,9.31%,100.81%,8281 Greensboro Drive Suite 100,Software—Application,3.49B,2.56,9.84%,7.52%,15.80%,541.97M,,Technology,ALRM,171.73M,162.07M,,67.56,49.90
420.59k,,"Alaska Communications Systems Group, Inc.",,62.3M,572,345.98M,2.5871, ,,15.83%,42.45%,"600 Telephone Avenue Anchorage, AK 99503",Telecom Services,125.33M, ,3.04%,2.72%,4.14%,233.05M,,Communication Services,ALSK,33.95M,254.6M,,18.61,2.1624
10.6k,,Alberton Acquisition Corporation,,N/A,,161.22M,10.74, ,,21.80%,60.71%,"Room 1001, Capital Center 10th Floor 151 Gloucester Road",Shell Companies,158.50M, ,0.00%,N/A,N/A,N/A,,Financial Services,ALAC,11.18k,2.73M,, ,10.56
152,,Alberton Acquisition Corporation,,N/A,, ,10.87, ,,0.00%,31.12%,"Room 1001, Capital Center 10th Floor 151 Gloucester Road",Shell Companies,, ,0.00%,N/A,N/A,N/A,,Financial Services,ALACU,11.18k,2.73M,, ,10.62
88.12k,,"Albireo Pharma, Inc.",,-70.64M,55,242.85M,26.24, ,,6.46%,71.35%,10 Post Office Square Suite 1000 South,Biotechnology,393.36M, ,0.00%,-24.92%,-68.99%,10.62M,,Healthcare,ALBO,150.52M,4.92M,, ,23.07
1.37M,,"Aldeyra Therapeutics, Inc.",,-55.17M,15,171.04M,4.98, ,,4.01%,65.87%,131 Hartwell Avenue Suite 320,Biotechnology,217.57M, ,0.00%,-45.74%,-90.32%,N/A,,Healthcare,ALDX,38.38M,14.84M,, ,4.19
582.29k,,"Alector, Inc.",,-129.64M,126,1.37B,26.15, ,,17.40%,62.32%,131 Oyster Point Boulevard Suite 600,Biotechnology,1.87B, ,0.00%,-15.09%,-38.56%,22.79M,,Healthcare,ALEC,548.53M,47.41M,, ,26.42
54.96k,,Alerus Financial Corporation,,N/A,789, ,19.77, ,,14.66%,31.79%,"401 Demers Avenue Grand Forks, ND 58201",Banks—Regional,333.22M, ,15.56%,1.21%,11.44%,182.98M,,Financial Services,ALRS,202.09M,70.13M,,11.13,18.94
2.08M,3,"Alexion Pharmaceuticals, Inc.",0.1,2.73B,"3,082",23.90B,111.51,10.18,7.8,0.30%,95.39%,"121 Seaport Boulevard Boston, MA 02210",Biotechnology,23.63B,0.78,44.83%,9.26%,22.13%,5.3B,16.7,Healthcare,ALXN,2.36B,2.85B,25,10.10,102.87
22k,,"Alico, Inc.",,54.99M,235,379.37M,31.28, ,,43.51%,43.83%,10070 Daniels Interstate Court Suite 100,Farm Products,240.68M, ,30.81%,5.80%,19.96%,120.47M,,Consumer Defensive,ALCO,80.41M,219.52M,,6.49,31.63
1.08M,,"Align Technology, Inc.",,352.99M,"14,530",23.20B,278.84,92.59,,8.32%,87.22%,"2820 Orchard Parkway San Jose, CA 95134",Medical Devices,23.55B,5.40,78.75%,5.27%,80.65%,2.16B,,Healthcare,ALGN,404.36M,50.62M,,13.90,238.38
27.11k,,"Alimera Sciences, Inc.",,-1.02M,122,88.72M,5.79, ,,17.95%,49.06%,6120 Windward Parkway Suite 290,Drug Manufacturers—Specialty & Generic,28.88M, ,-15.97%,-4.52%,N/A,55.59M,,Healthcare,ALIM,12.24M,42.87M,,1.83,5.61
18.55k,,Alithya Group Inc.,,N/A,,131.68M,1.6712,73.53,,27.98%,40.46%,"1100, Robert-Bourassa Boulevard Suite 400",Information Technology Services,88.72M, ,-14.22%,-2.14%,-28.45%,N/A,,Technology,ALYA,N/A,N/A,, ,2.0490
622.92k,,"ALJ Regional Holdings, Inc.",,16.04M,"6,322",131.38M,0.6124, ,,54.46%,5.39%,244 Madison Avenue PMB Suite 358,Specialty Business Services,29.10M, ,-23.13%,-1.60%,-149.72%,359.71M,,Industrials,ALJJ,3.1M,105.38M,, ,0.7414
1.58M,1,Alkermes plc,0.1,-42.07M,"2,235",3.02B,18.78,156.25,8.2,0.92%,96.66%,Connaught House 1 Burlington Road,Biotechnology,3.12B, ,-11.63%,-4.31%,-12.83%,1.19B,21.0,Healthcare,ALKS,495.99M,394.2M,29, ,17.29
313.6k,,Allakos Inc.,,-98.82M,96,3.62B,74.70, ,,10.90%,105.61%,975 Island Drive Suite 201,Biotechnology,4.09B, ,0.00%,-18.32%,-28.87%,N/A,,Healthcare,ALLK,479.8M,8.43M,, ,67.82
94k,,"Allegiance Bancshares, Inc.",,N/A,587, ,24.43, ,,8.36%,51.93%,"8847 West Sam Houston Parkway, North Suite 200",Banks—Regional,480.90M, ,24.76%,0.90%,6.21%,176.89M,,Financial Services,ABTX,174.89M,309.27M,,11.44,28.09
345.7k,,Allegiant Travel Company,,440.16M,"4,436",2.88B,112.68, ,,20.41%,87.97%,"1201 North Town Center Drive Las Vegas, NV 89144",Airlines,1.85B, ,7.89%,6.72%,18.34%,1.8B,,Industrials,ALGT,453.31M,1.56B,,13.14,114.95
1.17M,,"Allena Pharmaceuticals, Inc.",,-42.72M,33,50.46M,1.6615, ,,10.15%,61.65%,One Newton Executive Park Suite 202,Biotechnology,61.50M, ,0.00%,-68.30%,-176.36%,N/A,,Healthcare,ALNA,20.45M,9.41M,, ,1.7826
818.34k,,"Alliance Resource Partners, L.P.",,507.14M,"3,602",1.21B,3.4959,10.37,,33.10%,21.91%,1717 South Boulder Avenue Suite 400,Thermal Coal,412.11M, ,-1.22%,4.90%,-1.74%,1.79B,,Energy,ARLP,29.62M,828.07M,,2.16,5.0831
1.47M,2,Alliant Energy Corporation,19.3,1.33B,"3,597",19.69B,49.33,23.31,6.7,0.18%,77.55%,"4902 North Biltmore Lane Madison, WI 53718",Utilities—Regulated Electric,13.29B,4.42,16.84%,2.90%,11.38%,3.58B,10.1,Utilities,LNT,55.2M,6.46B,36,21.30,51.43
1.81M,,Allied Esports Entertainment Inc.,,-12.55M,146,69.96M,2.3541, ,,69.99%,4.61%,17877 Von Karman Avenue Suite 300,Entertainment,60.42M, ,-83.69%,-18.68%,-71.06%,25.88M,,Communication Services,AESE,4.35M,13.9M,, ,2.2664
613.14k,,"Allied Healthcare Products, Inc.",,-2.21M,181,43.80M,10.63, ,,62.88%,11.18%,"1720 Sublette Avenue St. Louis, MO 63110",Medical Devices,44.95M, ,-9.49%,-10.99%,-27.09%,31.07M,,Healthcare,AHPI,1.16M,N/A,, ,10.27
42.9k,,Allied Motion Technologies Inc.,,43.97M,"1,700",492.61M,35.15,44.84,,23.16%,55.28%,495 Commerce Drive Suite 3,Electronic Components,358.33M, ,4.49%,5.53%,14.52%,369.57M,,Technology,AMOT,20.38M,156.46M,,21.16,35.34
1.21M,,"Allogene Therapeutics, Inc.",,-217.45M,215,5.53B,42.27, ,,38.80%,57.58%,"210 East Grand Avenue South San Francisco, CA 94080",Biotechnology,5.97B, ,0.00%,-19.41%,-32.22%,N/A,,Healthcare,ALLO,492.92M,53.34M,, ,31.65
194.12k,,Allot Ltd.,,-3.69M,478,334.25M,10.71, ,,3.31%,73.61%,22 Hanagar Street Neve Ne'eman Industrial Zone B,Software—Infrastructure,406.69M, ,-6.13%,-2.35%,-5.25%,114.05M,,Technology,ALLT,78.14M,5.69M,, ,10.41
2.22M,,"Allscripts Healthcare Solutions, Inc.",,84.23M,"9,600",2.13B,6.78,11.29,,1.44%,113.95%,222 Merchandise Mart Plaza Suite 2024,Health Information Services,1.16B,1.46,-11.10%,0.19%,-14.45%,1.76B,,Healthcare,MDRX,204.31M,1.18B,,58.15,7.17
815.35k,,"Alnylam Pharmaceuticals, Inc.",,-939.85M,"1,323",17.96B,148.71, ,,0.80%,94.74%,"675 West Kendall Street Cambridge, MA 02142",Biotechnology,19.00B, ,0.00%,-27.97%,-61.20%,285.93M,,Healthcare,ALNY,1.34B,304.82M,, ,129.36
117.58k,,Alpha and Omega Semiconductor Limited,,27.95M,"4,338",345.11M,10.86, ,,21.39%,62.54%,"475 Oakmead Parkway Sunnyvale, CA 94085",Semiconductors,266.08M, ,-0.87%,-1.08%,-4.24%,454.37M,,Technology,AOSL,110.22M,186.9M,,259.48,10.48
1.71M,,Alphabet Inc.,,48.3B,"123,048",969.00B,"1,472.26",37.17,,5.75%,70.62%,"1600 Amphitheatre Parkway Mountain View, CA 94043",Internet Content & Information,1.07T,2.77,20.71%,8.71%,17.83%,166.68B,,Communication Services,GOOG,117.23B,16.8B,,31.67,"1,372.25"
1.94M,4,Alphabet Inc.,0.9,48.3B,"123,048",969.00B,"1,472.90",37.04,12.8,0.14%,82.29%,"1600 Amphitheatre Parkway Mountain View, CA 94043",Internet Content & Information,1.07T,2.76,20.71%,8.71%,17.83%,166.68B,15.9,Communication Services,GOOGL,117.23B,16.8B,30,31.59,"1,371.11"
398.22k,,"Alphatec Holdings, Inc.",,-32.94M,227,352.48M,4.89, ,,30.96%,47.79%,"5818 El Camino Real Carlsbad, CA 92008",Medical Devices,324.09M, ,-54.42%,-18.84%,-154.28%,118.99M,,Healthcare,ATEC,27.47M,55.86M,, ,4.99
827.81k,,"Alpine Immune Sciences, Inc.",,-36.15M,53,173.31M,8.59, ,,40.52%,44.39%,201 Elliott Avenue West Suite 230,Biotechnology,187.37M, ,0.00%,-38.95%,-85.96%,2.83M,,Healthcare,ALPN,35.68M,21.63M,, ,4.48
5.24M,,"Altimmune, Inc.",,-22.71M,25,1.03B,15.33, ,,17.11%,8.38%,910 Clopper Road Suite 201S,Biotechnology,1.06B, ,0.00%,-24.05%,-44.08%,5.06M,,Healthcare,ALT,32.92M,1.68M,,3.47,6.27
153.76k,,Altisource Portfolio Solutions S.A.,,40.87M,"3,283",406.45M,13.17, ,,44.04%,59.31%,"40, avenue Monterey Luxembourg City 2163",Mortgage Finance,211.14M, ,-52.72%,1.03%,-238.52%,600.16M,,Financial Services,ASPS,120.37M,317.37M,, ,12.79
264.66k,,Altair Engineering Inc.,,24.53M,"2,950",2.80B,38.62,243.90,,4.36%,95.94%,"1820 East Big Beaver Road Troy, MI 48083",Software—Infrastructure,2.84B, ,-3.14%,0.25%,-4.42%,462.52M,,Technology,ALTR,247.14M,207.64M,, ,34.60
440.29k,,Altra Industrial Motion Corp.,,342.1M,"9,200",3.60B,31.72,18.45,,1.17%,105.42%,300 Granite Street Suite 201,Specialty Industrial Machinery,2.21B,1.23,-1.86%,3.16%,-1.73%,1.72B,,Industrials,AIMC,220.1M,1.6B,,13.59,28.31
30.87k,,Altabancorp,,N/A,490, ,20.87,11.70,,16.84%,40.50%,"1 East Main Street American Fork, UT 84003",Banks—Regional,397.93M, ,37.25%,1.88%,13.90%,119.72M,,Financial Services,ALTA,157.63M,N/A,,9.01,24.37
1.96M,,Alterity Therapeutics Limited,,N/A,14,18.82M,1.0762, ,,0.00%,1.96%,460 Bourke Street Level 3,Biotechnology,27.35M, ,-288.55%,-56.63%,-114.26%,N/A,,Healthcare,ATHE,N/A,N/A,, ,0.7628
34.95k,,Altus Midstream Company,,67.08M,,663.15M,13.60,9.49,,12.58%,81.31%,One Post Oak Central Suite 100 2000 Post Oak Boulevard,Oil & Gas Midstream,214.45M, ,-266.70%,1.06%,-105.17%,142.72M,,Energy,ALTM,19.3M,468M,,28.30,22.32
474.6k,,ALX Oncology Limited,,-19.75M,24, ,30.07, ,,N/A,N/A,No. 9 Pembroke Street Upper Earlsfort Terrace Dublin 2,Biotechnology,, ,0.00%,N/A,N/A,4.42M,,Healthcare,ALXO,105.03M,5.53M,, ,30.07
568k,,"AMAG Pharmaceuticals, Inc.",,-97.2M,440,467.68M,7.93, ,,1.74%,134.32%,"1100 Winter Street Waltham, MA 02451",Biotechnology,287.89M, ,-115.05%,-7.89%,-83.98%,320.61M,,Healthcare,AMAG,124.74M,304.54M,, ,8.11
68.55k,,Amalgamated Bank,,N/A,398, ,11.48, ,,0.23%,51.23%,"275 Seventh Avenue New York, NY 10001",Banks—Regional,350.92M, ,24.02%,0.86%,9.89%,191.22M,,Financial Services,AMAL,262.74M,60.81M,,7.86,12.88
7.16M,,Amarin Corporation plc,,-24.37M,965,2.06B,6.82,227.27,,0.99%,43.74%,Grand Canal Docklands Block C 77 Sir John Rogerson's Quay,Biotechnology,2.54B, ,-3.67%,-2.46%,-5.16%,511.47M,,Healthcare,AMRN,542.24M,47.1M,, ,10.83
41.17k,,"A-Mark Precious Metals, Inc.",,13.38M,179,342.77M,19.65, ,,34.49%,16.89%,2121 Rosecrans Avenue Suite 6300,Capital Markets,166.79M, ,0.25%,0.82%,15.47%,4.65B,,Financial Services,AMRK,95.5M,573.5M,,14.12,13.60
4.74M,3,"Amazon.com, Inc.",5.8,36.27B,"840,400",1.50T,"2,853.28",138.89,11.0,15.12%,57.69%,"410 Terry Avenue North Seattle, WA 98109-5210",Internet Retail,1.49T,3.22,3.56%,4.37%,18.58%,296.27B,13.7,Consumer Cyclical,AMZN,49.29B,78.15B,31,142.69,"2,293.46"
571.14k,,"Ambac Financial Group, Inc.",,-4M,104,7.59B,14.05, ,,1.13%,79.23%,One World Trade Center 41st Floor,Insurance—Specialty,623.51M, ,-208.76%,-1.24%,-33.21%,217M,,Financial Services,AMBC,732M,8.77B,, ,16.32
495.92k,,"Ambarella, Inc.",,-41.33M,761,1.15B,48.29,500.00,,5.10%,78.86%,"3101 Jay Street Santa Clara, CA 95054",Semiconductor Equipment & Materials,1.55B,33.53,-18.18%,-5.81%,-9.78%,236.19M,,Technology,AMBA,411.33M,9.49M,, ,53.22
1.14M,,AMC Networks Inc.,,845.6M,"2,114",3.74B,25.66,4.47,,4.81%,111.36%,"11 Penn Plaza New York, NY 10001",Broadcasting,1.30B,1.72,10.16%,8.56%,38.19%,3.01B,,Communication Services,AMCX,704.13M,3.15B,,4.60,29.01
43.88k,,AMCI Acquisition Corp.,,N/A,,286.02M,10.30, ,,0.00%,78.35%,1501 Ligonier Street Suite 370,Shell Companies,286.40M, ,0.00%,N/A,N/A,N/A,,Financial Services,AMCI,377.06k,N/A,, ,10.22
9.59k,,AMCI Acquisition Corp.,,N/A,, ,10.72, ,,0.00%,40.54%,1501 Ligonier Street Suite 370,Shell Companies,, ,0.00%,N/A,N/A,N/A,,Financial Services,AMCIU,377.06k,N/A,, ,10.57
897.93k,1,Amdocs Limited,1.2,788.79M,"25,000",7.96B,60.81,12.79,6.4,0.03%,99.07%,"1390 Timberlake Manor Parkway Chesterfield, MO 63017",Software—Infrastructure,8.09B,1.83,11.98%,6.58%,14.04%,4.14B,10.8,Technology,DOX,762.6M,628.16M,18,16.61,63.52
387k,,"Amedisys, Inc.",,200.36M,"21,000",7.29B,197.91,49.51,,1.12%,90.99%,3854 American Way Suite A,Medical Care Facilities,6.99B,3.30,6.43%,8.55%,21.37%,1.98B,,Healthcare,AMED,174.76M,473.46M,,55.86,185.95
52.21k,,Amerant Bancorp Inc.,,N/A,825, ,14.42,64.52,,37.49%,32.35%,"220 Alhambra Circle Coral Gables, FL 33134",Banks—Regional,523.89M, ,6.64%,0.17%,1.65%,203.58M,,Financial Services,AMTB,217.35M,1.17B,,13.82,15.38
56.89k,1,AMERCO,6.7,1.18B,"14,400",10.40B,308.09, ,7.2,54.65%,38.70%,5555 Kietzke Lane Suite 100,Rental & Leasing Services,6.17B, ,11.11%,2.66%,11.17%,3.98B,8.9,Industrials,UHAL,501.35M,4.74B,23,13.96,311.99
1.87k,,Amerant Bancorp Inc.,,N/A,825, ,10.45,47.62,,37.23%,2.58%,"220 Alhambra Circle Coral Gables, FL 33134",Banks—Regional,523.89M, ,6.64%,0.17%,1.65%,203.58M,,Financial Services,AMTBB,217.35M,1.17B,,10.20,11.35
1.71M,,"Ameri Holdings, Inc.",,-4.37M,397,13.47M,1.7815, ,,25.86%,1.33%,5000 Research Court Suite 750,Information Technology Services,6.68M, ,-14.24%,-14.37%,-51.70%,38.83M,,Technology,AMRH,1.27M,8.05M,, ,1.3611
264.12k,,"America First Multifamily Investors, L.P.",,N/A,,963.30M,4.0838, ,,3.12%,8.33%,14301 FNB Parkway Suite 211,Mortgage Finance,237.94M, ,78.71%,2.74%,6.55%,32.72M,,Financial Services,ATAX,35.19M,541.77M,,10.34,5.6332
4.28k,,"America Movil, S.A.B. de C.V.",,N/A,"186,835",91.49B,13.05,16.75,,0.00%,3.32%,Lago Zurich 245 Plaza Carso / Edificio Telcel Colonia Ampliacion Granada Miguel Hidalgo,Telecom Services,57.33B,1.08,2.42%,5.86%,11.89%,N/A,,Communication Services,AMOV,N/A,N/A,,36.18,13.71
98.8M,2,American Airlines Group Inc.,10.9,-853M,"107,400",36.48B,13.76,3.07,5.5,1.16%,84.80%,"1 Skyview Drive Fort Worth, TX 76155",Airlines,5.98B,0.63,-10.40%,-3.22%,N/A,33.36B,14.2,Industrials,AAL,9.81B,40.05B,31,4.23,16.44
532.33k,,"American Finance Trust, Inc.",,178.83M,,2.41B,7.83, ,,0.38%,46.59%,650 Fifth Avenue 30th Floor,REIT—Diversified,775.97M, ,0.60%,1.07%,0.11%,302.77M,,Real Estate,AFIN,175.74M,1.81B,, ,8.89
41.34k,,"American Finance Trust, Inc.",,178.83M,, ,22.57, ,,0.00%,169.57%,650 Fifth Avenue 30th Floor,REIT—Diversified,, ,0.60%,1.07%,0.11%,302.77M,,Real Estate,AFINP,175.74M,1.81B,, ,21.41
22.57k,,American National Bankshares Inc.,,N/A,345, ,23.86, ,,5.68%,40.22%,"628 Main Street Danville, VA 24541",Banks—Regional,254.98M, ,32.97%,1.14%,9.43%,91.45M,,Financial Services,AMNB,251.6M,81.88M,,11.30,27.26
97.26k,,"American Public Education, Inc.",,32.43M,"1,410",294.03M,30.23,38.17,,4.23%,95.41%,"111 West Congress Street Charles Town, WV 25414",Education & Training Services,479.65M,1.36,3.97%,3.03%,3.77%,287.44M,,Consumer Defensive,APEI,195.24M,11.22M,,45.07,26.67
46.88k,,American National Insurance Company,,163.87M,,1.80B,73.16, ,,23.50%,63.56%,"One Moody Plaza Galveston, TX 77550",Insurance—Diversified,1.97B, ,4.27%,0.25%,2.76%,3.32B,,Financial Services,ANAT,747.63M,156.94M,,14.03,84.84
210.97k,,"American Software, Inc.",,8.28M,428,424.37M,16.89, ,,2.98%,106.64%,"470 East Paces Ferry Road, N.E. Atlanta, GA 30305",Software—Application,516.15M, ,5.84%,2.27%,5.76%,115.47M,,Technology,AMSWA,93.97M,2.19M,,75.76,15.84
5.27k,,American River Bankshares,,N/A,102, ,10.34,9.96,,11.05%,48.10%,3100 Zinfandel Drive Suite 450,Banks—Regional,60.13M, ,24.96%,0.80%,7.30%,25.04M,,Financial Services,AMRB,112.7M,27.46M,,9.50,11.31
218.68k,,American Superconductor Corporation,,-18.82M,242,168.33M,8.22, ,,16.22%,59.36%,"114 East Main Street Ayer, MA 01432",Specialty Industrial Machinery,219.74M, ,-26.78%,-11.88%,-22.29%,63.84M,,Industrials,AMSC,54.85M,3.44M,,392.50,6.93
145.21k,,American Resources Corporation,,-19.78M,15,72.06M,1.3053, ,,57.70%,1.45%,12115 Visionary Way Suite 174,Thermal Coal,39.58M, ,0.00%,-33.76%,N/A,8.89M,,Energy,AREC,1.62M,35.93M,,0.23,0.9459
812.98k,,"American Virtual Cloud Technologies, Inc.",,-6.17M,7,87.88M,3.5129, ,,81.33%,8.12%,1720 Peachtree Street Suite 629,Information Technology Services,79.33M, ,0.00%,-2.63%,N/A,N/A,,Technology,AVCT,10.24k,8.57M,, ,3.6089
170.03k,,American Woodmark Corporation,,222.56M,"9,900",1.86B,72.55,16.03,,7.43%,100.51%,"561 Shady Elm Road Winchester, VA 22602","Furnishings, Fixtures & Appliances",1.23B, ,4.54%,5.24%,11.34%,1.65B,,Consumer Cyclical,AMWD,97.06M,728.49M,,16.47,73.74
64.3k,,"America's Car-Mart, Inc.",,76.13M,"1,750",837.37M,89.78,11.36,,8.81%,90.69%,1805 North 2nd Street Suite 401,Auto & Truck Dealerships,618.15M, ,6.92%,7.79%,18.20%,742.31M,,Consumer Cyclical,CRMT,59.56M,278.38M,,12.26,85.29
460.28k,,Ameris Bancorp,,N/A,"2,679", ,23.26,7.65,,5.13%,87.87%,3490 Piedmont Road NE Suite 1550,Banks—Regional,1.63B, ,19.88%,0.94%,7.16%,708.44M,,Financial Services,ABCB,701.2M,1.68B,,10.69,28.21
111.09k,,"AMERISAFE, Inc.",,105.9M,431,1.16B,61.72,19.80,,1.78%,104.85%,"2301 Highway 190 West DeRidder, LA 70634-6004",Insurance—Specialty,1.24B, ,23.73%,4.26%,19.39%,354.38M,,Financial Services,AMSF,123.64M,N/A,,14.75,63.56
13.11k,,"AmeriServ Financial, Inc.",,N/A,305, ,2.9782, ,,9.53%,43.30%,Main & Franklin Streets PO Box 430,Banks—Regional,49.98M, ,10.53%,0.43%,5.08%,49.23M,,Financial Services,ASRV,N/A,77.42M,,9.45,3.2950
15.93k,,Ames National Corporation,,N/A,285, ,19.32, ,,1.17%,34.01%,405 5th Street Box 846,Banks—Regional,171.05M, ,31.08%,1.01%,9.02%,53.13M,,Financial Services,ATLO,168.52M,44.62M,,10.47,21.81
2.73M,2,Amgen Inc.,0.0,12.04B,"23,400",172.22B,241.62,16.31,6.8,0.22%,78.93%,"One Amgen Center Drive Thousand Oaks, CA 91320-1799",Drug Manufacturers—General,148.38B,1.77,32.03%,9.55%,75.55%,23.97B,13.6,Healthcare,AMGN,8.01B,31.85B,20,19.75,226.67
3.08M,,"Amicus Therapeutics, Inc.",,-287.08M,584,3.67B,14.48, ,,1.10%,109.87%,"1 Cedar Brook Drive Cranbury, NJ 08512",Biotechnology,3.80B, ,-155.73%,-24.78%,-76.10%,208.72M,,Healthcare,FOLD,338.87M,209.76M,, ,11.45
1.28M,,"Amkor Technology, Inc.",,815.98M,"29,650",3.70B,12.16,18.87,,5.03%,41.37%,"2045 East Innovation Circle Tempe, AZ 85284",Semiconductors,3.05B, ,4.82%,3.93%,10.78%,4.31B,,Technology,AMKR,999.71M,1.67B,,14.70,10.73
351.75k,,"Amphastar Pharmaceuticals, Inc.",,29.27M,"2,027",941.51M,20.88, ,,23.80%,53.60%,"11570 6th Street Rancho Cucamonga, CA 91730",Drug Manufacturers—Specialty & Generic,941.98M, ,15.90%,1.19%,12.99%,327.26M,,Healthcare,AMPH,67.05M,66.58M,,19.61,18.21
10.2k,,Amplitude Healthcare Acquisition Corporation,,N/A,1,126.82M,10.02, ,,0.00%,13.53%,1177 Avenue of the Americas Floor 40,Shell Companies,127.88M, ,0.00%,N/A,N/A,N/A,,Financial Services,AMHC,1.06M,N/A,, ,9.81
804,,Amplitude Healthcare Acquisition Corporation,,N/A,1, ,10.16, ,,0.00%,89.08%,1177 Avenue of the Americas Floor 40,Shell Companies,, ,0.00%,N/A,N/A,N/A,,Financial Services,AMHCU,1.06M,N/A,, ,10.07
23.53k,,Amryt Pharma plc,,-36.03M,169,468.35M,11.34, ,,0.00%,203.92%,Dept 920A 196 High Road Wood Green,Drug Manufacturers—Specialty & Generic,355.09M, ,-90.72%,N/A,N/A,98.16M,,Healthcare,AMYT,66.97M,182.34M,, ,11.34
39.11k,,"Amtech Systems, Inc.",,4.68M,340,27.20M,4.9894,6.57,,2.14%,63.82%,"131 South Clark Drive Tempe, AZ 85281",Semiconductor Equipment & Materials,71.08M, ,-14.12%,2.02%,0.08%,76.33M,,Technology,ASYS,49.27M,5.42M,,43.45,5.1867
2.69M,,"Amyris, Inc.",,-98.6M,561,1.16B,4.2350, ,,26.30%,32.55%,5885 Hollis Street Suite 100,Specialty Chemicals,935.11M, ,-158.01%,-47.74%,N/A,167.31M,,Basic Materials,AMRS,2.61M,225.25M,, ,3.2784
2.74M,0,"Analog Devices, Inc.",10.9,2.3B,"16,400",46.11B,119.66,21.51,7.6,0.33%,91.45%,One Technology Way PO Box 9106,Semiconductors,41.30B,2.37,20.05%,4.29%,9.53%,5.54B,7.7,Technology,ADI,784.94M,6.15B,26,37.44,110.41
351.28k,,"AnaptysBio, Inc.",,-92.37M,89,195.88M,21.31, ,,1.59%,104.79%,10421 Pacific Center Court Suite 200,Biotechnology,558.36M, ,0.00%,-12.65%,-19.23%,23M,,Healthcare,ANAB,362.48M,1.32M,, ,17.38
731.37k,,Anavex Life Sciences Corp.,,N/A,16,242.00M,4.5824, ,,4.17%,24.24%,51 West 52nd Street 7th Floor,Biotechnology,268.57M, ,0.00%,-63.06%,-133.21%,N/A,,Healthcare,AVXL,26.56M,N/A,, ,3.7738
94.41k,,Anchiano Therapeutics Ltd,,-16.67M,16,-6.63M,1.3088, ,,18.97%,27.81%,One Kendall Square Building 1400E Suite 14-105,Biotechnology,7.03M, ,0.00%,-40.89%,-109.45%,N/A,,Healthcare,ANCN,14.01M,340k,, ,1.0975
60.58k,,Andina Acquisition Corp. III,,N/A,,141.85M,10.29, ,,15.21%,66.56%,Calle 113 # 7-45 Torre B Oficina 1012,Shell Companies,142.01M, ,0.00%,-0.24%,35.74%,N/A,,Financial Services,ANDA,158.28k,N/A,, ,10.17
